"vaccine","country_code","country","year","coverage"
"MCV1","BAR","baringo",2013,0.721040727039291
"MCV1","BAR","baringo",2014,0.767450913908223
"MCV1","BAR","baringo",2015,0.744423491722666
"MCV1","BAR","baringo",2016,0.740279018327465
"MCV1","BAR","baringo",2017,0.674539422614981
"MCV1","BAR","baringo",2018,0.783317678605002
"MCV1","BAR","baringo",2019,0.807902476940386
"MCV1","BAR","baringo",2020,0.824971158926811
"MCV1","BAR","baringo",2021,0.832607599213727
"MCV1","BAR","baringo",2022,0.847415697415823
"MCV1","BAR","baringo",2023,0.845991484957025
"MCV1","BAR","baringo",2028,0.895991484957025
"MCV1","BAR","baringo",2027,0.885991484957025
"MCV1","BAR","baringo",2025,0.865991484957025
"MCV1","BAR","baringo",2026,0.875991484957025
"MCV1","BAR","baringo",2029,0.905991484957025
"MCV1","BAR","baringo",2024,0.855991484957025
"MCV1","BAR","baringo",2030,0.915991484957025
"MCV1","BOM","bomet",2013,0.707477580264379
"MCV1","BOM","bomet",2017,0.661747952890509
"MCV1","BOM","bomet",2014,0.753013732896018
"MCV1","BOM","bomet",2021,0.816943759079371
"MCV1","BOM","bomet",2018,0.768582241926879
"MCV1","BOM","bomet",2016,0.726352683447715
"MCV1","BOM","bomet",2025,0.850078154286398
"MCV1","BOM","bomet",2019,0.792714755120133
"MCV1","BOM","bomet",2020,0.809450979682097
"MCV1","BOM","bomet",2028,0.880078154286398
"MCV1","BOM","bomet",2029,0.890078154286398
"MCV1","BOM","bomet",2027,0.870078154286398
"MCV1","BOM","bomet",2026,0.860078154286398
"MCV1","BOM","bomet",2023,0.830078154286398
"MCV1","BOM","bomet",2030,0.900078154286398
"MCV1","BOM","bomet",2015,0.730424042671124
"MCV1","BOM","bomet",2024,0.840078154286398
"MCV1","BOM","bomet",2022,0.831477655722847
"MCV1","BMA","bungoma",2021,0.835328816734274
"MCV1","BMA","bungoma",2014,0.76995932395262
"MCV1","BMA","bungoma",2025,0.86877804726365
"MCV1","BMA","bungoma",2022,0.850186884787478
"MCV1","BMA","bungoma",2015,0.746909712003759
"MCV1","BMA","bungoma",2016,0.742699297356354
"MCV1","BMA","bungoma",2019,0.810537832986843
"MCV1","BMA","bungoma",2029,0.90877804726365
"MCV1","BMA","bungoma",2023,0.84877804726365
"MCV1","BMA","bungoma",2020,0.82766739680574
